Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indxO   indxR    XIdgO       XIrg      XIdgR     Jdg   indxT    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    19    2791    2792   18.50000   18.83333   19.50000    35    2875   34.00000   34.00000   35.00000
0000002  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    19    2791    2792   18.50000   19.16667   19.50000    35    2875   34.00000   34.00000   35.00000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    20    2792    2793   19.50000   19.50000   20.50000    35    2876   34.00000   34.00000   35.00000
0000004  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    20    2792    2793   19.50000   19.83333   20.50000    35    2876   34.00000   34.00000   35.00000
0000005  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    20    2792    2793   19.50000   20.16667   20.50000    35    2876   34.00000   34.00000   35.00000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    21    2793    2794   20.50000   20.50000   21.50000    35    2877   34.00000   34.00000   35.00000
0000007  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    21    2793    2794   20.50000   20.83333   21.50000    35    2877   34.00000   34.00000   35.00000
0000008  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    21    2793    2794   20.50000   21.16667   21.50000    35    2877   34.00000   34.00000   35.00000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    22    2794    2795   21.50000   21.50000   22.50000    35    2878   34.00000   34.00000   35.00000
0000010  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    22    2794    2795   21.50000   21.83333   22.50000    35    2878   34.00000   34.00000   35.00000
0000011  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    22    2794    2795   21.50000   22.16667   22.50000    35    2878   34.00000   34.00000   35.00000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    23    2795    2796   22.50000   22.50000   23.50000    35    2879   34.00000   34.00000   35.00000
0000013  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    23    2795    2796   22.50000   22.83333   23.50000    35    2879   34.00000   34.00000   35.00000
0000014  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    23    2795    2796   22.50000   23.16667   23.50000    35    2879   34.00000   34.00000   35.00000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    24    2796    2797   23.50000   23.50000   24.50000    35    2880   34.00000   34.00000   35.00000
0000016  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    24    2796    2797   23.50000   23.83333   24.50000    35    2880   34.00000   34.00000   35.00000
0000017  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    24    2796    2797   23.50000   24.16667   24.50000    35    2880   34.00000   34.00000   35.00000
0000018  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    25    2797    2798   24.50000   24.50000   25.50000    35    2881   34.00000   34.00000   35.00000
0000019  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    25    2797    2798   24.50000   24.83333   25.50000    35    2881   34.00000   34.00000   35.00000
0000020  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    25    2797    2798   24.50000   25.16667   25.50000    35    2881   34.00000   34.00000   35.00000
0000021  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    26    2798    2799   25.50000   25.50000   26.50000    35    2882   34.00000   34.00000   35.00000
0000022  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    26    2798    2799   25.50000   25.83333   26.50000    35    2882   34.00000   34.00000   35.00000
0000023  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    26    2798    2799   25.50000   26.16667   26.50000    35    2882   34.00000   34.00000   35.00000
0000024  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    27    2799    2800   26.50000   26.50000   27.50000    35    2883   34.00000   34.00000   35.00000
0000025  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    27    2799    2800   26.50000   26.83333   27.50000    35    2883   34.00000   34.00000   35.00000
0000026  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    27    2799    2800   26.50000   27.16667   27.50000    35    2883   34.00000   34.00000   35.00000
0000027  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    28    2800    2801   27.50000   27.50000   28.50000    35    2884   34.00000   34.00000   35.00000
0000028  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    28    2800    2801   27.50000   27.83333   28.50000    35    2884   34.00000   34.00000   35.00000
0000029  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    28    2800    2801   27.50000   28.16667   28.50000    35    2884   34.00000   34.00000   35.00000
0000030  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    29    2801    2802   28.50000   28.50000   29.50000    35    2885   34.00000   34.00000   35.00000
0000031  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    29    2801    2802   28.50000   28.83333   29.50000    35    2885   34.00000   34.00000   35.00000
0000032  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    29    2801    2802   28.50000   29.16667   29.50000    35    2885   34.00000   34.00000   35.00000
0000033  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    30    2802    2803   29.50000   29.50000   30.50000    35    2886   34.00000   34.00000   35.00000
0000034  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    30    2802    2803   29.50000   29.83333   30.50000    35    2886   34.00000   34.00000   35.00000
0000035  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    30    2802    2803   29.50000   30.16667   30.50000    35    2886   34.00000   34.00000   35.00000
